source,target,weight
FRA,BGD,209426.92509080595
FRA,PAN,372641.07178506535
FRA,LVA,350982.7576681163
FRA,GRC,2222027.495834517
FRA,ARG,1052365.8624634708
FRA,BFA,276761.71517173765
FRA,ISL,458221.8653270571
FRA,GAB,480816.07757474313
FRA,CHL,1086524.8779511405
FRA,CAN,3476235.063544617
FRA,MLI,349851.7342883727
FRA,AUT,4217965.354422593
FRA,GEO,202990.4057733924
FRA,MLT,659038.545688722
FRA,AUS,2854415.201352146
FRA,DZA,5533690.472527871
FRA,KAZ,356104.7372800274
FRA,MYS,2106502.278319488
FRA,MDG,391729.67048278335
FRA,CIV,1307076.9808656354
FRA,NGA,1187822.1180277516
FRA,SEN,828465.283850923
FRA,COG,368759.15719638055
FRA,BHR,298903.7792315864
FRA,IND,5870193.802147081
FRA,IRL,2659469.984977368
FRA,SGP,7583499.517421879
FRA,LBN,815189.6605901318
FRA,KEN,188773.6746558721
FRA,BGR,915332.695587778
FRA,BEN,202693.8264198208
FRA,EGY,2040758.755666108
FRA,BEL,35712639.14993861
FRA,DEU,75311849.99614544
FRA,HUN,3785136.013258397
FRA,DNK,3178638.454492867
FRA,MEX,3744268.423896146
FRA,PER,261351.3829640421
FRA,VNM,1780305.1411058158
FRA,LUX,2436087.84526598
FRA,CHN,20832010.968789767
FRA,AGO,333561.9106427883
FRA,PHL,806630.266039927
FRA,GBR,34404161.59320524
FRA,ZAF,1969201.1245846536
FRA,QAT,2232536.076832113
FRA,ISR,1692054.4736939117
FRA,JPN,6977436.201517492
FRA,TGO,341079.2956072424
FRA,PAK,587285.7396557585
FRA,PRT,5326823.165340978
FRA,SVK,2998114.443073581
FRA,IRQ,365073.61380808346
FRA,MRT,202472.07305485304
FRA,SAU,5050651.885405143
FRA,JOR,284147.28909834207
NIC,USA,2888010.5437699994
NIC,SLV,276042.96170000004
NIC,MEX,323723.32047000004
BOL,KOR,627843.5738499998
BOL,ARE,367355.7479799998
BOL,BRA,1458206.64233
BOL,COL,494618.4495800001
BOL,USA,646342.93422
BOL,ARG,1275351.9193
BOL,IND,572040.3052599999
BOL,BEL,260719.2931100001
BOL,PER,303822.18915999995
BOL,CHN,451917.54419
BOL,JPN,591465.2623800001
TUR,GHA,224493.22699999987
TUR,HRV,312568.88600000006
TUR,KGZ,343599.84
TUR,ETH,337605.955
TUR,IRN,3154528.3129999987
