iso_o,iso_d,dist
ALB,BRN,10082.97
ALB,BTN,6426.47
ALB,BWA,7381.93
ALB,CAF,4114.247
ALB,CAN,7606.625
ALB,CCK,9878.188
ALB,CHE,1167.984
ALB,CHL,12432.5
ALB,CHN,7686.079
ALB,CIV,4655.998
ALB,CMR,4253.419
ALB,COG,5092.883
ALB,COK,17792.69
ALB,COL,10083.01
ALB,COM,6371.083
ALB,CPV,5090.82
ALB,CRI,10418.61
ALB,CUB,9295.044
ALB,CXR,10442.01
ALB,CYM,9502.166
ALB,CYP,1366.294
ALB,CZE,1060.922
ALB,DEU,1493.096
ALB,DJI,4015.761
ALB,DMA,8173.444
ALB,DNK,1679.912
ALB,DOM,8638.148
ALB,DZA,1533.738
ALB,ECU,10728.15
ALB,EGY,1623.328
ALB,ERI,3426.688
ALB,ESH,3392.319
ALB,ESP,1977.061
ALB,EST,2041.537
ALB,ETH,4050.716
ALB,FIN,2122.475
ALB,FJI,16745.12
ALB,FLK,12773.21
ALB,FRA,1603.534
ALB,FRO,2900.948
ALB,FSM,13196.33
ALB,GAB,4676.458
ALB,GBR,1895.345
ALB,GEO,2076.242
ALB,GHA,4453.75
ALB,GIB,2251.487
ALB,GIN,4965.696
ALB,GLP,8153.266
ALB,GMB,4694.403
ALB,GNB,4758.288
ALB,GNQ,4325.311
ALB,GRC,500.1241
ALB,GRD,8432.149
ALB,GRL,5089.978
ALB,GTM,10563.5
ALB,GUF,8166.574
ALB,GUY,8516.926
ALB,HKG,8747.532
ALB,HND,10354.04
ALB,HRV,585.956
ALB,HTI,8840.73
ALB,HUN,689.0358
ALB,IDN,10212.24
ALB,IND,5322.44
ALB,IRL,2355.755
ALB,IRN,2808.604
ALB,IRQ,2343.134
ALB,ISL,3675.061
ALB,ISR,1680.884
ALB,ITA,611.7626
ALB,JAM,9240.724
ALB,JOR,1773.421
ALB,JPN,9501.873
ALB,KAZ,4615.345
ALB,KEN,5045.083
ALB,KGZ,4444.737
ALB,KHM,8762.518
ALB,KIR,14570.17
ALB,KNA,8144.748
ALB,KOR,8562.792
ALB,KWT,2868.303
ALB,LAO,8119.246
ALB,LBN,1609.733
ALB,LBR,4933.823
ALB,LBY,1126.319
ALB,LCA,8230.828
ALB,LKA,7028.389
ALB,LSO,7902.8
ALB,LTU,1540.066
ALB,LUX,1404.884
ALB,LVA,1765.015
ALB,MAC,8700.824
ALB,MAR,2473.619
ALB,MDA,955.9489
ALB,MDG,7283.476
ALB,MDV,6737.666
ALB,MEX,10807.12
ALB,MHL,13898.79
ALB,MKD,155.9628
ALB,MLI,4178.792
ALB,MLT,759.1236
ALB,MMR,7666.058
ALB,MNG,6559.96
ALB,MNP,11641.92
ALB,MOZ,7605.371
ALB,MRT,4264.968
ALB,MSR,8144.219
ALB,MTQ,8197.883
ALB,MUS,7871.458
ALB,MWI,6321.25
ALB,MYS,9108.602
ALB,NAM,7117.55
ALB,NCL,16267.53
ALB,NER,3539.309
ALB,NFK,16854.55
ALB,NGA,4207.215
ALB,NIC,10434.08
ALB,NIU,17383.68
ALB,NLD,1664.815
ALB,NOR,2160.437
ALB,NPL,6050.166
ALB,NRU,14417.34
ALB,NZL,17971.9
ALB,OMN,4096.846
ALB,PAK,4709.623
ALB,PAL,1700.268
ALB,PAN,10127.47
ALB,PCN,16723.36
ALB,PER,11472.13
ALB,PHL,9850.101
ALB,PLW,11474.01
ALB,PNG,13790.3
ALB,POL,1218.313
ALB,PRI,8344.56
ALB,PRK,8371.93
ALB,PRT,2472.398
ALB,PRY,10877.48
ALB,PYF,17197.47
ALB,QAT,3422.078
ALB,REU,7839.226
ALB,ROM,617.6277
ALB,RUS,2063.678
ALB,RWA,4925.967
ALB,SAU,3104.873
ALB,SDN,3119.727
ALB,SEN,4656.532
ALB,SGP,9424.125
ALB,SHN,6892.819
ALB,SLB,14760.26
