country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
MOZ,3.550759674,0,589.85905,801590,73.64442866,89.67159162,18.0999504,22.9161876,6.72327878,3868353885.0,Portuguese,15950969019.0,Africa,27042001.0
MRT,3.237703083,0,1524.071753,1030700,82.57041603,124.0857947,22.7465106,20.62954561,5.376339237,501726765.7,Arabic,6166857629.0,Africa,4046304.0
MUS,1.286549708,0,9260.447303,2045,63.73432296,119.0235418,19.24209489,3.153993847,3.55307173,216455188.3,English,11692287066.0,Africa,1262605.0
MWI,21.86734755,1,380.5969877,118484,53.22276521,113.6412235,14.80716336,27.48122386,2.799999999,287746689.2,English,6373212641.0,Africa,16745305.0
MYS,2.104389802,0,9955.242722,329758,124.7443197,108.4782183,38.44966979,8.287499926,5.091532422,9857162112.0,Malay,301354803994.0,Asia,30270965.0
NAM,3.394015384,0,4896.61526,825518,103.7830935,126.6879805,27.5636536,6.650426799,4.526767116,838879062.7,English,11272143473.0,Africa,2314901.0
NER,-0.5760903698,1,484.2386326,1267000,31.62433898,171.2281366,22.54547366,32.40157961,4.392648832,529476871.1,French,9685577941.0,Africa,20001663.0
NGA,9.009387183,0,2687.480056,923768,19.49781379,138.4680128,20.1607829,20.63189348,2.652693295,3064168904.0,English,486803295098.0,Africa,181137454.0
NIC,3.997379967,0,2049.851666,130670,93.27642619,206.5980803,25.73488598,16.1101157,4.792056766,967000000.0,Spanish,12756706583.0,America,6223234.0
NLD,0.6002481473,0,45175.23189,41863,141.4604184,93.77183967,18.18602103,1.724327834,1.959169721,322579599792.0,Dutch,765264949781.0,Europe,16939923.0
NOR,2.171136654,0,74355.51586,323752,46.74398015,123.1962762,31.01037938,1.537557599,1.967128438,7274086872.0,Norwegian,385801550067.0,Europe,5188607.0
NPL,7.868908956,1,901.7496077,147181,30.26584262,85.13037453,13.16165463,26.51850843,3.322905439,51895699.93,Nepali,21410840909.0,Asia,27015033.0
NZL,0.2927046281,0,38630.72659,268676,39.8220934,134.8614076,21.1416151,4.471293178,3.618967903,-73372796.42,English,177467529071.0,Pacific,4609400.0
OMN,0.06529013303,0,16033.46383,212379,89.05841949,147.5112507,53.49573982,1.989807283,4.630374517,-2172431730.0,Arabic,68399663322.0,Asia,4267341.0
PAK,2.529328173,0,1356.667831,882872,24.4891881,49.82010906,19.09099426,23.81706316,4.731147475,1673000000.0,Urdu,270556131701.0,Asia,199426953.0
PAN,0.1374920585,0,13630.32287,75648,62.58249864,162.1443795,27.55926037,2.786004533,5.732763632,5119300000.0,Spanish,54091700000.0,America,3968490.0
PER,3.549288049,0,6229.100674,1285216,38.11221271,163.5683002,30.33787987,7.04564406,3.252244772,8313966795.0,Spanish,189805300842.0,America,30470739.0
